iter	MultiClass
0	0.9994311196
1	0.918680778
2	0.8537123744
3	0.798409439
4	0.752002209
5	0.713208195
6	0.6777154156
7	0.6473814241
8	0.6197393756
9	0.5951549965
10	0.5736702351
11	0.5549680203
12	0.5370783313
13	0.5211941112
14	0.5070635069
15	0.4936162553
16	0.4814496056
17	0.4698680127
18	0.4595491381
19	0.4483188866
20	0.4393696132
21	0.4300338932
22	0.4232213887
23	0.4154377452
24	0.4085099185
25	0.4023918462
26	0.3960462771
27	0.3915272283
28	0.3866254412
29	0.381815328
30	0.377815714
31	0.3743071442
32	0.3704227247
33	0.3668656875
34	0.3631309352
35	0.3595815256
36	0.3562446395
37	0.353207101
38	0.3501650274
39	0.3474482061
40	0.3449496515
41	0.3422394931
42	0.3392631658
43	0.3366724927
44	0.3347410314
45	0.3333777968
46	0.3312728739
47	0.3285430603
48	0.3267202906
49	0.325136093
50	0.3235403384
51	0.321934909
52	0.3202751252
53	0.3188998991
54	0.3174176745
55	0.3160404434
56	0.3148169833
57	0.3134223835
58	0.3121630116
59	0.3109579985
60	0.3099469753
61	0.3090468257
62	0.3078092256
63	0.3067884543
64	0.305813502
65	0.3050312245
66	0.3043949883
67	0.3035385759
68	0.3027368396
69	0.3019471401
70	0.3012180224
71	0.3002190437
72	0.2991928044
73	0.2985115139
74	0.2979073983
75	0.2974746513
76	0.297112728
77	0.2964980713
78	0.2959727023
79	0.295422475
80	0.2946857868
81	0.294197325
82	0.2936264513
83	0.293207779
84	0.2929488781
85	0.292516651
86	0.2920198054
87	0.2915337542
88	0.2911212915
89	0.290726536
90	0.2902820159
91	0.2898898674
92	0.2895644746
93	0.2891753564
94	0.2886864634
95	0.2881915916
96	0.2878402962
97	0.2873315605
98	0.2869602513
99	0.2865432006
100	0.2862283601
101	0.2860017181
102	0.2857107324
103	0.2854845481
104	0.2850710401
105	0.2848777281
106	0.2843590885
107	0.2839271386
108	0.2836541349
109	0.2832135883
110	0.2829429879
111	0.2826830582
112	0.2824435482
113	0.2821445334
114	0.2817813973
115	0.2814318012
116	0.281218826
117	0.2809910855
118	0.2807601356
119	0.2804562725
120	0.2802198449
121	0.2799768954
122	0.2799055651
123	0.2796961651
124	0.279404082
125	0.2791209657
126	0.2789101779
127	0.2786779836
128	0.2785515896
129	0.2784606498
130	0.2783277688
131	0.278098809
132	0.2779077492
133	0.2777364561
134	0.2776748559
135	0.2774405239
136	0.2771946664
137	0.2770217346
138	0.276847772
139	0.2766559501
140	0.276254159
141	0.2761873239
142	0.2759957715
143	0.2757968202
144	0.2756027559
145	0.2754415566
146	0.2752123433
147	0.2750578084
148	0.2749192498
149	0.2746724965
150	0.2745284684
151	0.2742946764
152	0.2741672855
153	0.2740509963
154	0.2738991769
155	0.273833575
156	0.2737866588
157	0.2737375369
158	0.2736130416
159	0.2734772881
160	0.2732264741
161	0.2731390667
162	0.273039481
163	0.2729388965
164	0.2727548487
165	0.2726436389
166	0.2724749106
167	0.2723596723
168	0.272271121
169	0.2721008728
170	0.2719602221
171	0.271909617
172	0.2718294675
173	0.2717722691
174	0.2716922163
175	0.2715773966
176	0.2714660232
177	0.271363317
178	0.2712359855
179	0.2711479353
180	0.2710418277
181	0.2708412567
182	0.270691918
183	0.2705519293
184	0.2705207145
185	0.2704100638
186	0.2703187321
187	0.2700913171
188	0.2700250304
189	0.2699505522
190	0.2698923408
191	0.2697972216
192	0.2697005371
193	0.2696112662
194	0.2694467977
195	0.2693568812
196	0.269312587
197	0.269212928
198	0.2691751892
199	0.2691450779
200	0.2691061279
201	0.2689072143
202	0.2688281825
203	0.2687676417
204	0.2687413312
205	0.2686220487
206	0.2684965727
207	0.2684718402
208	0.2683341746
209	0.2681930792
