iter	Passed	Remaining
0	1	1735
1	3	1652
2	4	1616
3	6	1611
4	8	1596
5	9	1606
6	11	1638
7	13	1668
8	15	1688
9	17	1707
10	18	1704
11	20	1704
12	22	1699
13	23	1689
14	25	1679
15	27	1675
16	28	1675
17	30	1665
18	32	1664
19	33	1661
20	35	1662
21	37	1657
22	38	1655
23	40	1651
24	42	1643
25	43	1646
26	45	1638
27	47	1634
28	48	1631
29	50	1629
30	51	1622
31	53	1620
32	55	1617
33	56	1611
34	58	1608
35	59	1603
36	61	1602
37	63	1596
38	64	1592
39	66	1589
40	67	1585
41	69	1582
42	71	1581
43	72	1578
44	74	1575
45	75	1573
46	77	1570
47	79	1569
48	80	1567
49	82	1565
50	84	1563
51	85	1560
52	87	1557
53	88	1553
54	90	1553
55	91	1550
56	93	1553
57	95	1552
58	97	1550
59	98	1548
60	100	1546
61	102	1543
62	103	1542
63	105	1540
64	106	1538
65	108	1537
66	110	1536
67	111	1534
68	113	1531
69	115	1530
70	116	1527
71	118	1524
72	119	1522
73	121	1520
74	123	1518
75	124	1515
76	126	1513
77	127	1511
78	129	1510
79	131	1507
80	132	1505
81	134	1503
82	135	1500
83	137	1498
84	138	1495
85	140	1493
86	142	1490
87	143	1488
88	145	1486
89	146	1484
90	148	1482
91	149	1480
92	151	1480
93	153	1479
94	155	1477
95	156	1474
96	158	1473
97	159	1471
98	161	1470
99	163	1469
100	165	1469
101	166	1467
102	168	1465
103	170	1464
104	171	1462
105	173	1461
106	174	1460
107	176	1458
108	178	1456
109	179	1455
110	181	1453
111	183	1452
112	184	1451
113	186	1450
114	188	1449
115	190	1451
116	192	1451
117	194	1450
118	195	1450
119	198	1452
120	200	1453
121	202	1455
122	204	1455
123	206	1457
124	208	1460
125	210	1462
126	213	1464
127	215	1464
128	216	1465
129	218	1464
130	220	1462
131	222	1462
132	224	1462
133	226	1461
134	227	1460
135	230	1461
136	232	1461
137	233	1461
138	235	1461
139	237	1459
140	239	1458
141	241	1459
142	243	1459
143	245	1459
144	247	1458
145	248	1456
146	250	1455
147	252	1453
148	254	1451
149	255	1449
150	257	1447
151	259	1445
152	260	1443
153	262	1441
154	263	1438
155	265	1436
156	267	1434
157	268	1431
158	270	1429
159	271	1426
160	273	1424
161	274	1421
162	276	1420
163	278	1418
164	280	1417
165	281	1415
