"","income","health","age","drive","transport","spend","lambda_1","lambda_2","lambda_3"
"1",14878.4189207174,5,27,2,"Public",NA,2.47677729971992,-0.167808059773076,-0.927279432254648
"2",18748.6261621429,2,82,5,"Taxi",NA,1.13930888648295,-0.571882039861546,-0.539132713864004
"3",65584.5756438053,3,42,2,"Public",NA,0.692606109000615,-0.457763797920488,-0.466094868435688
"4",23140.8764035903,1,64,3,"Public",NA,1.17504941564241,-0.540461784639603,-0.58107051694967
"5",24112.8799532691,5,36,0,"Public",NA,1.92776177639296,-0.23831010948359,-0.8716979246176
"6",73170.3447003079,2,47,2,"Car",18.0455317139999,0.573267574987553,-0.503339462784676,-0.332583713860569
"7",30413.4840762447,2,87,0,"Car",17.7597183252088,0.930857938994408,-0.610400396553009,-0.41027702823165
"8",9085.70097971841,3,48,3,"Public",NA,1.93602770128921,-0.311553807238886,-0.845567375988444
"9",13618.7527915935,3,79,1,"Taxi",NA,1.3092722222631,-0.501410813973594,-0.648359405895245
"10",16123.5565427758,3,34,3,"Public",NA,1.9953564432226,-0.270174034734603,-0.866423285049878
"11",51888.7487316272,5,93,0,"Public",NA,0.656768541422629,-0.54660157403507,-0.336115876468449
"12",28335.4706577918,1,23,2,"Public",NA,1.60130441697748,-0.346920714791885,-0.793323579803519
"13",29159.6159447201,5,25,3,"Public",NA,1.9991304843309,-0.209317933389128,-0.886711438248967
"14",23800.8816040759,1,31,3,"Car",12.9893551279973,1.59304517608814,-0.370491607274857,-0.780714777949011
"15",14926.7652454978,2,79,5,"Taxi",NA,1.23687398610668,-0.547600697954725,-0.59134096610587
"16",76944.4641464369,4,29,3,"Taxi",NA,0.647125977340426,-0.394368457868864,-0.49793762598083
"17",31210.0467992941,1,72,2,"Car",14.3695776852981,0.981460410865269,-0.591181445495888,-0.459017015364366
"18",5560.08119391015,4,96,1,"Public",NA,1.34841148910018,-0.518114206888312,-0.643620550156382
"19",35988.2987936822,2,72,4,"Taxi",NA,0.922248521783468,-0.563819253782945,-0.466522647624573
"20",15820.2495350804,2,78,4,"Taxi",NA,1.22823835384169,-0.545463178607754,-0.591042995871921
"21",10430.8538119492,2,79,4,"Public",NA,1.33063373921103,-0.532976014595747,-0.627275458788168
"22",18909.4591455541,0,47,0,"Car",8.88309757900329,1.40346874816695,-0.48202735506511,-0.682491455079245
"23",10740.714428392,3,25,5,"Public",NA,2.39501171163819,-0.206392610737098,-0.912931302992548
"24",13223.8347009715,1,53,1,"Public",NA,1.53255728283451,-0.446969285771867,-0.728649124105628
"25",14220.9642787818,5,77,1,"Public",NA,1.45512879171158,-0.40618993230574,-0.740538430419891
"26",6763.62780397249,3,68,3,"Public",NA,1.63664764132497,-0.41275948122238,-0.764200923197877
"27",39594.715095268,1,54,1,"Car",14.1060792142774,0.959390642968435,-0.534960394235495,-0.514056053986969
"28",24522.863917755,5,60,3,"Public",NA,1.44702091184998,-0.357963862341345,-0.765090592259542
"29",9929.8846841001,1,65,5,"Taxi",NA,1.45154170454984,-0.500212064927311,-0.678239463213558
"30",52980.0361282869,5,71,5,"Public",NA,0.735557187097857,-0.480234730490362,-0.467124674782605
"31",29688.7942327083,4,48,5,"Car",15.0178733670582,1.41313055085974,-0.357865343207228,-0.759490148883629
"32",17916.0092191857,4,23,5,"Public",NA,2.31719542191747,-0.192486385591847,-0.912685679977516
"33",41216.2536138531,3,81,3,"Car",15.9294616453056,0.816505822820435,-0.567756178596239,-0.409162175897692
"34",40728.9101054697,1,47,5,"Public",NA,0.993283118657881,-0.508201374995354,-0.553015219335092
"35",39148.0838786154,3,87,3,"Car",24.198647142508,0.819895127761548,-0.585577582660959,-0.386589320401884
