iter	MultiClass
0	1.060582043
1	1.026039633
2	0.9969362785
3	0.9705085227
4	0.9498018776
5	0.9323286158
6	0.9170642087
7	0.9042473864
8	0.8922532271
9	0.8800432713
10	0.8683538748
11	0.8588412065
12	0.849929893
13	0.842664588
14	0.8358631966
15	0.8301235556
16	0.8243776265
17	0.8202727756
18	0.815485761
19	0.8119165491
20	0.8073207352
21	0.802934293
22	0.7995852981
23	0.7925624975
24	0.7897302808
25	0.7869824468
26	0.7834517891
27	0.7813584234
28	0.7785845555
29	0.7762474634
30	0.7713880404
31	0.7657163958
32	0.7641583087
33	0.7627072737
34	0.7605719613
35	0.7591303359
36	0.7572757558
37	0.7537376357
38	0.7525709217
39	0.7500320358
40	0.7484100415
41	0.7475073092
42	0.7464214971
43	0.7451108983
44	0.7439459928
45	0.7427878346
46	0.7418562518
47	0.7403592299
48	0.7394764762
49	0.7370343084
50	0.7358153749
51	0.7349617077
52	0.734112252
53	0.7334670025
54	0.7325889059
55	0.7320890324
56	0.7295949207
57	0.7289786394
58	0.7283483111
59	0.7259579192
60	0.7239175499
61	0.7230573522
62	0.7224443081
63	0.7215764918
64	0.7206345331
65	0.7187959691
66	0.7177665235
67	0.7170187019
68	0.7164627404
69	0.7161368738
70	0.7156545539
71	0.7149797485
72	0.7144578231
73	0.7138728338
74	0.713287775
75	0.7127696081
76	0.7125756798
77	0.7122845444
78	0.7116305706
79	0.7104244993
80	0.7097367014
81	0.7093560448
82	0.7067370462
83	0.7063322271
84	0.7058005224
85	0.7051327509
86	0.7048640661
87	0.7044266804
88	0.7041649137
89	0.7038288552
90	0.7035124822
91	0.7029799537
92	0.7025253129
93	0.7017908988
94	0.701307403
95	0.7002543111
96	0.6984965276
97	0.6981231912
98	0.6975702824
99	0.69696844
100	0.6966731067
101	0.6963862838
102	0.6958094049
103	0.6954081843
104	0.6949922826
105	0.6941169397
106	0.6935363751
107	0.6931525872
108	0.6926231701
109	0.6921102153
110	0.6917456285
111	0.6900235842
112	0.6895917892
113	0.6892626838
114	0.6890514519
115	0.6884856009
116	0.6879576299
117	0.6875755322
118	0.687194013
119	0.686663754
120	0.6862734911
121	0.6859690008
122	0.6856674645
123	0.6844603986
124	0.6840393696
125	0.6836439623
126	0.6832491312
127	0.6828170824
128	0.6825779206
129	0.6822378874
130	0.6819460377
131	0.6817495692
132	0.6815548867
133	0.6813589118
134	0.68122946
135	0.6809590759
136	0.6806646694
137	0.6803437474
138	0.6801008162
139	0.6798836045
140	0.6793287433
141	0.6790694439
142	0.6779701627
143	0.6777366116
144	0.6773213904
145	0.6766193518
146	0.6764228914
147	0.6761626944
148	0.6757544595
149	0.6753609013
150	0.6750746396
151	0.6749076581
152	0.6747561212
153	0.6740799266
154	0.6738383065
155	0.6736675707
156	0.6732948912
157	0.6729798249
158	0.6728985124
159	0.6719509815
160	0.6717288902
161	0.671570832
162	0.6712215626
163	0.6709290155
164	0.6706924483
165	0.6705924785
166	0.670207453
167	0.6701478679
168	0.6697351533
169	0.6692191307
170	0.669051123
171	0.6687396752
172	0.6685213585
173	0.6682422835
174	0.6679256652
175	0.667588869
176	0.6673926589
177	0.6670327401
178	0.6667854403
179	0.6664198936
180	0.6661930453
181	0.6658578074
182	0.6656252302
183	0.6651864176
184	0.6649434416
185	0.6647977285
186	0.6646889087
187	0.6643765509
188	0.6642240527
189	0.6640150423
190	0.6637634988
191	0.6634737608
192	0.6633017586
193	0.6626514239
194	0.6623964465
195	0.6622072823
196	0.6620934528
197	0.6619581447
198	0.6617726268
199	0.6616519097
200	0.6614841962
201	0.661132184
202	0.6609367458
203	0.6606933314
204	0.6606368619
205	0.6605038495
206	0.6604199339
207	0.6600604069
208	0.6598371766
209	0.6597249696
210	0.659558237
211	0.6594377147
212	0.6592880866
213	0.6590330733
214	0.658968092
215	0.6587677712
216	0.6585258424
217	0.6583424595
