Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
1,Max Aarons,eng ENG,DF,Norwich City,21,2000,32.0,8,0,0,27,52,1,50,28,44,0,2,1,154,13,50,20.6,Matches,774cf58b
2,Che Adams,sct SCO,FW,Southampton,25,1996,22.7,0,0,0,29,40,7,8,8,6,0,0,0,70,61,91,40.1,Matches,f2bf1b0f
3,Rayan Aït Nouri,fr FRA,DFMF,Wolves,20,2001,20.3,4,0,0,14,20,3,96,22,36,1,0,0,128,17,13,56.7,Matches,9b398aea
4,Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,5,0,0,12,16,0,17,26,18,0,0,0,109,49,31,61.3,Matches,a8c0acb7
5,Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,0,0,0,9,2,0,1,8,9,0,0,0,43,37,12,75.5,Matches,eaeca114
6,Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,3,0,0,6,13,2,78,14,19,0,0,0,65,4,13,23.5,Matches,b827d5b3
7,Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17.0,2,0,0,19,13,0,4,26,29,0,0,0,126,31,12,72.1,Matches,77e84962
8,Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2,0,0,12,7,11,273,43,23,0,0,0,235,15,13,53.6,Matches,cd1acf9d
9,Alisson,br BRA,GK,Liverpool,28,1992,36.0,0,0,0,0,2,0,0,0,1,0,0,1,80,15,1,93.8,Matches,7a2e46a8
10,Allan,br BRA,MF,Everton,30,1991,24.3,7,1,0,30,22,0,10,23,44,1,0,0,191,11,15,42.3,Matches,cc700722
11,Dele Alli,eng ENG,MF,Tottenham,25,1996,7.3,1,0,0,12,11,2,5,6,8,1,0,0,40,7,11,38.9,Matches,cea4ee8f
12,Dele Alli,eng ENG,MFFW,Everton,25,1996,3.8,3,0,0,9,7,2,1,6,2,0,0,0,24,9,8,52.9,Matches,cea4ee8f
13,Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,2,0,0,17,25,9,20,20,29,0,0,0,96,5,14,26.3,Matches,862a1c15
14,Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,8,0,0,25,28,3,149,43,29,0,1,0,139,40,28,58.8,Matches,f4290206
15,Steven Alzate,co COL,MF,Brighton,22,1998,4.5,0,0,0,6,4,0,0,10,4,0,0,0,39,4,8,33.3,Matches,ad1f61f3
16,Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,4,0,0,14,8,1,0,21,13,0,0,0,145,33,37,47.1,Matches,1a4ef233
17,Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,4,0,0,19,8,1,8,37,23,0,0,1,152,56,48,53.8,Matches,e34fc66d
18,Michail Antonio,jm JAM,FW,West Ham,31,1990,33.0,8,1,1,50,52,13,63,3,17,0,0,0,90,79,112,41.4,Matches,ac05f970
19,Cameron Archer,eng ENG,FWMF,Aston Villa,20,2001,0.3,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,50.0,Matches,05e8ca6d
20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,2f965a72
21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,1,0,0,13,6,2,18,3,4,1,0,0,36,13,23,36.1,Matches,68c720b5
22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,1,0,0,11,20,1,35,8,19,1,0,0,94,3,11,21.4,Matches,97333cf5
23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,100.0,Matches,28d596a0
24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,Matches,b391383a
25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,3,0,0,15,8,10,11,0,5,0,0,0,22,25,28,47.2,Matches,d5dd5f1f
26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,2,0,0,38,66,2,74,15,30,1,0,0,132,32,58,35.6,Matches,da052c14
27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,4,1,0,22,19,2,31,28,42,0,1,0,187,34,50,40.5,Matches,420d7c7d
28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23.0,3,0,0,25,5,2,47,23,28,0,1,0,110,46,29,61.3,Matches,53cad200
29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12.0,0,0,0,1,1,0,0,1,0,0,1,0,10,2,0,100.0,Matches,1c0eea98
30,Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,3,0,0,12,11,4,33,1,11,0,0,0,38,10,16,38.5,Matches,3a233281
31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,1,0,0,2,0,0,0,3,4,0,0,1,10,6,2,75.0,Matches,a1232f4e
32,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,0,0,0,0,1,1,0,0,1,0,0,0,2,1,3,25.0,Matches,31822f8c
33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,2,0,0,5,5,5,3,2,0,0,0,0,12,5,14,26.3,Matches,93feac6e
34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,2,1,1,6,11,1,8,11,4,0,0,0,62,7,18,28.0,Matches,2886c9b5
35,Ross Barkley,eng ENG,MFFW,Chelsea,27,1993,2.0,0,0,0,2,4,0,7,1,0,0,0,0,17,6,2,75.0,Matches,3a24769f
36,Ashley Barnes,eng ENG,FW,Burnley,31,1989,9.0,4,0,0,21,12,9,2,2,2,0,1,0,34,49,65,43.0,Matches,2691c772
37,Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,2,0,0,19,20,10,45,5,16,0,0,0,93,24,41,36.9,Matches,3ea50f67
38,Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,0,0,0,3,1,0,0,1,0,0,0,0,8,0,2,0.0,Matches,cd4256d3
39,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,3,0,0,8,4,0,10,6,7,0,1,0,41,9,4,69.2,Matches,30db8574
40,Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,10,0,0,30,15,1,1,72,15,0,1,1,177,91,38,70.5,Matches,4115ce4e
41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,0,0,0,2,2,0,0,2,4,0,0,0,7,1,2,33.3,Matches,50dc94ce
42,Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,1,0,0,7,1,0,6,6,7,0,0,0,35,7,5,58.3,Matches,50dc94ce
43,Asmir Begović,ba BIH,GK,Everton,34,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,100.0,Matches,7b4de647
44,Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,0,0,0,9,15,9,74,9,17,0,0,0,128,10,19,34.5,Matches,5a04fd92
45,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,5,0,0,22,13,0,9,20,18,0,0,0,88,21,18,53.8,Matches,3b8674e6
46,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,3,0,0,16,16,10,0,2,2,0,0,0,25,85,54,61.2,Matches,ab070c55
47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,2,0,0,16,14,3,44,12,6,0,0,0,71,15,20,42.9,Matches,f72293fc
48,Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,1,0,0,9,9,1,8,1,2,0,0,0,22,4,5,44.4,Matches,a29b1131
49,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,1,0,0,3,1,0,12,1,5,0,0,0,11,1,8,11.1,Matches,01226327
50,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,,Matches,407db0d5
51,Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,10,0,0,30,19,0,2,50,49,0,1,0,161,16,15,51.6,Matches,6c203af0
52,Willy Boly,ci CIV,DF,Wolves,30,1991,10.0,1,0,0,7,2,1,0,14,19,0,1,0,62,20,20,50.0,Matches,a4ac4b8f
53,Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,6,0,0,25,43,14,141,21,20,2,0,0,151,38,65,36.9,Matches,79c84d1c
54,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,0,1,0,3,4,0,0,1,1,0,0,0,24,11,5,68.8,Matches,c1949191
55,Armando Broja,al ALB,FW,Southampton,19,2001,21.9,2,0,0,29,26,13,8,3,5,1,0,0,81,88,166,34.6,Matches,97220da2
56,Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,10,0,0,39,20,0,53,68,37,0,0,0,198,47,32,59.5,Matches,47369df8
57,Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches,a2081c6b
58,Bryan,es ESP,FWMF,Tottenham,20,2001,1.0,0,0,0,1,4,0,6,0,0,0,0,0,12,0,1,0.0,Matches,7b5ab7f2
59,Emi Buendía,ar ARG,MFFW,Aston Villa,24,1996,21.1,1,0,0,17,44,3,34,9,18,0,1,0,110,19,35,35.2,Matches,66b76d44
60,Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16.0,4,0,0,11,6,5,0,20,11,0,0,0,73,68,31,68.7,Matches,b2d31e83
61,Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,4,0,0,15,0,0,1,24,12,0,0,0,56,32,21,60.4,Matches,b2d31e83
62,Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,0,0,0,0,2,0,0,0,0,0,0,0,4,1,2,33.3,Matches,cc70a1d5
63,Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,3,0,0,12,4,0,9,22,15,0,1,0,57,28,28,50.0,Matches,1bf811d4
64,Willy Caballero,ar ARG,GK,Southampton,39,1981,2.0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0.0,Matches,a179d516
65,Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,2,0,0,7,11,1,0,10,10,0,0,0,56,9,4,69.2,Matches,16264a81
66,Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,2,0,0,17,16,4,2,3,8,1,0,0,34,94,93,50.3,Matches,59e6e5bf
67,Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,Matches,6f711f67
68,João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,7,0,0,34,26,2,124,59,54,0,0,0,217,57,51,52.8,Matches,bd6351cd
69,Sergi Canós,es ESP,DFFW,Brentford,24,1997,23.1,8,1,1,28,15,5,87,22,25,0,0,1,183,9,27,25.0,Matches,1137759d
70,Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,2,0,0,4,12,2,3,3,13,0,0,0,22,3,4,42.9,Matches,f63d8a4b
71,Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,8,0,0,38,38,2,98,49,50,0,1,0,190,42,45,48.3,Matches,2389cdc2
72,Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,1,0,0,15,7,1,40,29,31,0,0,0,102,39,38,50.6,Matches,197640fd
73,Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,1,0,0,10,16,0,14,13,15,0,0,0,49,11,7,61.1,Matches,e28868f3
74,Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,3,0,0,13,4,0,4,28,15,0,0,0,127,48,34,58.5,Matches,89e4b358
75,Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,0,0,0,7,5,6,2,2,1,0,0,0,22,7,17,29.2,Matches,527f063d
76,Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches,17734ea0
77,Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,2,0,0,19,14,0,4,19,27,0,1,0,74,32,28,53.3,Matches,5515376c
78,Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,0,0,0,2,1,0,3,0,3,0,0,0,14,2,1,66.7,Matches,dc6f5bdd
79,Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,1,0,0,12,2,0,2,5,8,0,0,0,49,26,25,51.0,Matches,dc6f5bdd
80,Daniel Chesters,eng ENG,MF,West Ham,19,2002,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,240c8ab6
81,Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6.0,0,0,0,10,15,2,32,4,3,0,1,0,32,7,10,41.2,Matches,d2424d1b
82,Chiquinho,pt POR,DFFW,Wolves,21,2000,2.3,0,0,0,9,8,0,25,2,6,0,0,0,17,4,5,44.4,Matches,dc6c2f02
83,Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,1,0,0,4,5,0,0,12,3,0,0,0,15,10,2,83.3,Matches,7d2d3329
84,Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,2,0,0,11,7,0,1,29,8,0,0,0,110,48,38,55.8,Matches,1cb49278
85,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,17,2003,3.3,0,0,0,3,9,0,0,1,1,0,0,0,16,7,9,43.8,Matches,b2f9c73e
86,Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,2,1,0,6,5,1,1,13,10,0,1,0,49,26,15,63.4,Matches,2b91cf8e
87,Tom Cleverley,eng ENG,MF,Watford,31,1989,18.0,2,0,0,28,19,2,54,18,20,0,0,0,81,14,29,32.6,Matches,6cdd8245
88,Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15.0,1,0,0,3,5,0,17,15,10,0,0,0,73,10,7,58.8,Matches,0442183b
89,Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,4,0,0,20,1,2,2,28,14,0,0,0,162,32,24,57.1,Matches,2928dca2
90,Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,4,0,0,14,17,2,41,32,36,1,0,1,188,25,23,52.1,Matches,0420d84f
91,Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,2,1,0,20,12,4,3,24,15,0,2,0,128,57,31,64.8,Matches,a8c19eb8
92,Aaron Connolly,ie IRL,FWMF,Brighton,21,2000,1.7,0,0,0,0,6,0,0,0,0,0,0,0,7,2,5,28.6,Matches,27c01749
93,Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,5,0,0,19,9,2,1,43,23,0,1,0,118,82,44,65.1,Matches,dc64b8b3
