,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
0,Gianluigi Donnarumma,23,"Feb 25, 1999",Italy,PSG,,Goalkeeper,50.0,24,0,0,2160,23,9,1.96,"Jul 14, 2021","Jun 30, 2026",/gianluigi-donnarumma/profil/spieler/315858
1,Keylor Navas,35,"Dec 15, 1986",Costa Rica,PSG,,Goalkeeper,8.0,26,0,0,2308,24,10,1.85,"Sep 2, 2019","Jun 30, 2023",/keylor-navas/profil/spieler/79422
3,Alexandre Letellier,31,"Dec 11, 1990",France,PSG,,Goalkeeper,0.4,1,0,0,7,0,1,1.93,"Sep 25, 2020","Jun 30, 2024",/alexandre-letellier/profil/spieler/93730
6,Marquinhos,28,"May 14, 1994",Brazil,PSG,,Centre-Back,70.0,40,5,1,3582,0,0,1.83,"Jul 19, 2013","Jun 30, 2024",/marquinhos/profil/spieler/181767
7,Presnel Kimpembe,26,"Aug 13, 1995",France,PSG,,Centre-Back,40.0,41,2,1,3545,0,0,1.83,"Jul 1, 2015","Jun 30, 2024",/presnel-kimpembe/profil/spieler/282041
10,Sergio Ramos,36,"Mar 30, 1986",Spain,PSG,,Centre-Back,6.0,13,2,0,844,0,0,1.84,"Jul 8, 2021","Jun 30, 2023",/sergio-ramos/profil/spieler/25557
11,El Chadaille Bitshiabu,17,"May 16, 2005",France,PSG,,Centre-Back,2.0,11,1,0,715,0,0,1.96,"Jul 1, 2022","Jun 30, 2024",/el-chadaille-bitshiabu/profil/spieler/787912
13,Juan Bernat,29,"Mar 1, 1993 ",Spain,PSG,,Left-Back,12.0,16,0,0,974,0,0,1.77,"Aug 31, 2018","Jun 30, 2025",/juan-bernat/profil/spieler/126719
16,Achraf Hakimi,23,"Nov 4, 1998 ",Morocco,PSG,,Right-Back,65.0,41,4,6,3292,0,0,1.81,"Jul 6, 2021","Jun 30, 2026",/achraf-hakimi/profil/spieler/398073
19,Danilo Pereira,30,"Sep 9, 1991 ",Portugal,PSG,,Defensive Midfield,14.0,37,5,0,2620,0,0,1.88,"Jul 1, 2021","Jun 30, 2025",/danilo-pereira/profil/spieler/141050
20,Marco Verratti,29,"Nov 5, 1992 ",Italy,PSG,,Central Midfield,50.0,32,2,2,2623,0,0,1.65,"Jul 18, 2012","Jun 30, 2026",/marco-verratti/profil/spieler/102558
28,Ismaël Gharbi,18,"Apr 10, 2004",Spain,PSG,,Attacking Midfield,1.5,12,1,1,422,0,0,1.73,"Jul 1, 2022","Jun 30, 2025",/ismael-gharbi/profil/spieler/810096
30,Neymar,30,"Feb 5, 1992 ",Brazil,PSG,,Left Winger,75.0,28,13,8,2328,0,0,1.75,"Aug 3, 2017","Jun 30, 2025",/neymar/profil/spieler/68290
33,Lionel Messi,35,"Jun 24, 1987",Argentina,PSG,,Right Winger,50.0,34,11,15,2872,0,0,1.7,"Aug 10, 2021","Jun 30, 2023",/lionel-messi/profil/spieler/28003
34,Pablo Sarabia,30,"May 11, 1992",Spain,PSG,,Right Winger,25.0,47,22,10,3176,0,0,1.74,"Jul 2, 2019","Jun 30, 2025",/pablo-sarabia/profil/spieler/74230
36,Kylian Mbappé,23,"Dec 20, 1998",France,PSG,,Centre-Forward,160.0,46,39,26,3912,0,0,1.78,"Jul 1, 2018","Jun 30, 2025",/kylian-mbappe/profil/spieler/342229
40,Sekou Yansané,19,"Apr 28, 2003",France,PSG,,Centre-Forward,0.3,6,1,0,282,0,0,1.84,-,"Jun 30, 2027",/sekou-yansane/profil/spieler/853344
43,Simon Ngapandouetnbu,19,"Apr 12, 2003",Cameroon,MARSEILLE,,Goalkeeper,0.4,11,0,0,990,14,3,1.86,"Oct 11, 2019","Jun 30, 2024",/simon-ngapandouetnbu/profil/spieler/696600
44,Fabio Vanni,19,"Jul 20, 2002",France,MARSEILLE,,Goalkeeper,0.15,10,0,0,854,18,2,1.81,-,-,/fabio-vanni/profil/spieler/801577
47,Leonardo Balerdi,23,"Jan 26, 1999",Argentina,MARSEILLE,,Centre-Back,10.0,24,0,0,1270,0,0,1.87,"Jul 3, 2021","Jun 30, 2026",/leonardo-balerdi/profil/spieler/575998
50,Yakine Said M'Madi,18,"Mar 11, 2004",Comoros,MARSEILLE,,Centre-Back,,16,1,0,1409,0,0,1.84,-,"Jun 30, 2024",/yakine-said-mmadi/profil/spieler/922488
52,Sead Kolasinac,29,"Jun 20, 1993",Bosnia-Herzegovina,MARSEILLE,,Left-Back,3.0,22,0,1,848,0,0,1.83,"Jan 18, 2022","Jun 30, 2023",/sead-kolasinac/profil/spieler/94005
54,Amay Caprice,17,"Aug 21, 2004",France,MARSEILLE,,Right-Back,0.25,22,1,1,1874,0,0,-,-,"Jun 30, 2024",/amay-caprice/profil/spieler/743494
56,Pape Gueye,23,"Jan 24, 1999",Senegal,MARSEILLE,,Defensive Midfield,12.0,42,1,2,2373,0,0,1.89,"Jul 1, 2020","Jun 30, 2023",/pape-gueye/profil/spieler/485963
57,Paolo Sciortino,18,"Nov 5, 2003 ",France,MARSEILLE,,Defensive Midfield,0.15,22,1,0,1873,0,0,1.77,-,"Jun 30, 2024",/paolo-sciortino/profil/spieler/805476
58,Tom Moustier,20,"May 2, 2002 ",France,MARSEILLE,,Defensive Midfield,,7,0,0,503,0,0,1.85,-,"Jun 30, 2024",/tom-moustier/profil/spieler/782889
60,Gerson,25,"May 20, 1997",Brazil,MARSEILLE,,Central Midfield,22.0,48,11,10,3490,0,0,1.84,"Jul 1, 2021","Dec 31, 2027",/gerson/profil/spieler/341705
61,Valentin Rongier,27,"Dec 7, 1994 ",France,MARSEILLE,,Central Midfield,12.0,46,1,2,3305,0,0,1.72,"Sep 3, 2019","Jun 30, 2026",/valentin-rongier/profil/spieler/332889
62,Cheick Souaré,19,"Sep 3, 2002 ",France,MARSEILLE,,Central Midfield,0.2,12,2,1,1080,0,0,1.85,-,"Jun 30, 2023",/cheick-souare/profil/spieler/569367
64,Bilal Nadir,18,"Nov 28, 2003",France,MARSEILLE,,Central Midfield,0.15,18,0,1,1539,0,0,1.72,-,"Jun 30, 2024",/bilal-nadir/profil/spieler/659520
66,Dimitri Payet,35,"Mar 29, 1987",France,MARSEILLE,,Attacking Midfield,5.0,46,16,13,3730,0,0,1.75,"Jan 30, 2017","Jun 30, 2024",/dimitri-payet/profil/spieler/37647
67,Ugo Bertelli,18,"Jul 15, 2003",France,MARSEILLE,,Attacking Midfield,0.3,26,1,2,2072,0,0,1.68,-,"Jun 30, 2023",/ugo-bertelli/profil/spieler/708680
71,Salim Ben Seghir,19,"Feb 24, 2003",France,MARSEILLE,,Left Winger,0.4,18,5,1,1530,0,0,1.74,"Jul 1, 2021","Jun 30, 2023",/salim-ben-seghir/profil/spieler/708681
72,Jonathan Pitou,17,"Aug 11, 2004",France,MARSEILLE,,Left Winger,0.25,13,0,0,756,0,0,1.74,-,"Jun 30, 2025",/jonathan-pitou/profil/spieler/800611
75,Bamba Dieng,22,"Mar 23, 2000",Senegal,MARSEILLE,,Centre-Forward,10.0,36,8,3,1568,0,0,1.78,"Jul 1, 2021","Jun 30, 2025",/bamba-dieng/profil/spieler/822458
78,Aylan Benyahia-Tani,16,"Jul 19, 2005",France,MARSEILLE,,Centre-Forward,0.25,10,0,1,512,0,0,-,-,"Jun 30, 2024",/aylan-benyahia-tani/profil/spieler/881250
79,Alexander Nübel,25,"Sep 30, 1996",Germany,MONACO,,Goalkeeper,8.0,49,0,0,4440,51,14,1.93,"Jul 1, 2021","Jun 30, 2023",/alexander-nubel/profil/spieler/195778
82,Yann Lienard,19,"Mar 16, 2003",France,MONACO,,Goalkeeper,0.2,11,0,0,990,18,0,1.94,-,"Jun 30, 2024",/yann-lienard/profil/spieler/745341
83,Benoît Badiashile,21,"Mar 26, 2001",France,MONACO,,Centre-Back,30.0,34,1,1,2700,0,0,1.94,"Jul 1, 2018","Jun 30, 2030",/benoit-badiashile/profil/spieler/463603
84,Axel Disasi,24,"Mar 11, 1998",France,MONACO,,Centre-Back,17.0,45,3,0,3678,0,0,1.9,"Aug 7, 2020","Jun 30, 2025",/axel-disasi/profil/spieler/386047
85,Guillermo Maripán,28,"May 6, 1994 ",Chile,MONACO,,Centre-Back,15.0,37,1,0,2677,0,0,1.9,"Aug 24, 2019","Jun 30, 2025",/guillermo-maripan/profil/spieler/249730
89,Yllan Okou,19,"Dec 23, 2002",France,MONACO,,Centre-Back,0.3,17,4,1,1505,0,0,1.89,-,"Jun 30, 2025",/yllan-okou/profil/spieler/745202
90,Fouad El Maach,21,"Jan 2, 2001 ",Morocco,MONACO,,Centre-Back,0.15,16,1,0,1199,0,0,1.88,-,"Jun 30, 2024",/fouad-el-maach/profil/spieler/536503
91,Caio Henrique,24,"Jul 31, 1997",Brazil,MONACO,,Left-Back,20.0,49,2,13,3894,0,0,1.78,"Aug 27, 2020","Jun 30, 2027",/caio-henrique/profil/spieler/420064
92,Ismail Jakobs,22,"Aug 17, 1999",Senegal,MONACO,,Left-Back,7.0,39,0,2,1635,0,0,1.84,"Jul 12, 2021","Jun 30, 2026",/ismail-jakobs/profil/spieler/375137
93,Louis Torres,21,"Apr 29, 2001",France,MONACO,,Left-Back,0.15,18,2,2,1501,0,0,1.82,-,"Jun 30, 2023",/louis-torres/profil/spieler/536510
94,Vanderson,21,"Jun 21, 2001",Brazil,MONACO,,Right-Back,18.0,22,2,3,1438,0,0,1.73,"Jan 1, 2022","Jun 30, 2027",/vanderson/profil/spieler/789082
95,Ruben Aguilar,29,"Apr 26, 1993",France,MONACO,,Right-Back,10.0,39,0,2,2875,0,0,1.7,"Aug 6, 2019","Jun 30, 2025",/ruben-aguilar/profil/spieler/203746
97,Aurélien Platret,19,"Feb 20, 2003",France,MONACO,,Right-Back,0.15,20,0,3,1594,0,0,-,-,-,/aurelien-platret/profil/spieler/745201
100,Soungoutou Magassa,18,"Oct 8, 2003 ",France,MONACO,,Defensive Midfield,0.2,22,1,0,1761,0,0,1.88,"Jul 1, 2022","Jun 30, 2024",/soungoutou-magassa/profil/spieler/745181
101,Youssouf Fofana,23,"Jan 10, 1999",France,MONACO,,Central Midfield,18.0,46,1,4,3042,0,0,1.85,"Jan 29, 2020","Jun 30, 2024",/youssouf-fofana/profil/spieler/569598
102,Jean Lucas,24,"Jun 22, 1998",Brazil,MONACO,,Central Midfield,8.0,39,2,2,2198,0,0,1.79,"Aug 2, 2021","Jun 30, 2026",/jean-lucas/profil/spieler/578872
103,Eliot Matazo,20,"Feb 15, 2002",Belgium,MONACO,,Central Midfield,8.0,28,0,1,1271,0,0,1.7,"Jul 1, 2020","Jun 30, 2026",/eliot-matazo/profil/spieler/535834
105,Félix Lemaréchal,18,"Aug 7, 2003 ",France,MONACO,,Central Midfield,0.6,22,2,2,1622,0,0,1.8,"Jul 1, 2022","Jun 30, 2023",/felix-lemarechal/profil/spieler/659518
106,Tiago Ribeiro,20,"Mar 14, 2002",Portugal,MONACO,,Central Midfield,0.25,21,4,3,1228,0,0,1.83,-,"Jun 30, 2023",/tiago-ribeiro/profil/spieler/504084
107,Florian Baranik,20,"Feb 2, 2002 ",France,MONACO,,Central Midfield,0.15,14,1,0,1183,0,0,-,-,"Jun 30, 2023",/florian-baranik/profil/spieler/538968
108,Aleksandr Golovin,26,"May 30, 1996",Russia,MONACO,,Attacking Midfield,25.0,40,4,8,2179,0,0,1.78,"Jul 27, 2018","Jun 30, 2026",/aleksandr-golovin/profil/spieler/263918
109,Maghnes Akliouche,20,"Feb 25, 2002",France,MONACO,,Attacking Midfield,1.0,20,3,4,1009,0,0,1.83,"Jul 1, 2022","Jun 30, 2024",/maghnes-akliouche/profil/spieler/745200
111,Eric Ayiah,22,"Mar 6, 2000 ",Ghana,MONACO,,Left Winger,0.15,23,3,1,1246,0,0,1.83,-,"Jun 30, 2025",/eric-ayiah/profil/spieler/543503
112,Gelson Martins,27,"May 11, 1995",Portugal,MONACO,,Right Winger,15.0,47,5,4,2682,0,0,1.7,"Jul 1, 2019","Jun 30, 2024",/gelson-martins/profil/spieler/257448
113,Krépin Diatta,23,"Feb 25, 1999",Senegal,MONACO,,Right Winger,13.0,13,2,0,530,0,0,1.75,"Jan 21, 2021","Jun 30, 2025",/krepin-diatta/profil/spieler/490426
115,Wissam Ben Yedder,31,"Aug 12, 1990",France,MONACO,,Centre-Forward,25.0,52,32,7,3554,0,0,1.7,"Aug 14, 2019","Jun 30, 2024",/wissam-ben-yedder/profil/spieler/146854
116,Kevin Volland,29,"Jul 30, 1992",Germany,MONACO,,Centre-Forward,22.0,51,15,13,3731,0,0,1.79,"Sep 2, 2020","Jun 30, 2024",/kevin-volland/profil/spieler/82009
117,Myron Boadu,21,"Jan 14, 2001",Netherlands,MONACO,,Centre-Forward,14.0,42,6,2,1446,0,0,1.81,"Aug 4, 2021","Jun 30, 2026",/myron-boadu/profil/spieler/412932
120,Alfred Gomis,28,"Sep 5, 1993 ",Senegal,RENNAIS,,Goalkeeper,8.0,32,0,0,2846,33,12,1.96,"Sep 29, 2020","Jun 30, 2023",/alfred-gomis/profil/spieler/163568
121,Dogan Alemdar,19,"Oct 29, 2002",Turkey,RENNAIS,,Goalkeeper,3.5,16,0,0,1440,18,5,1.92,"Aug 27, 2021","Jun 30, 2026",/dogan-alemdar/profil/spieler/576033
123,Romain Salin,37,"Jul 29, 1984",France,RENNAIS,,Goalkeeper,0.4,4,0,0,304,4,2,1.86,"Jul 1, 2019","Jun 30, 2024",/romain-salin/profil/spieler/23974
124,Elias Damergy,19,"Oct 17, 2002",Tunisia,RENNAIS,,Goalkeeper,0.2,9,0,0,810,7,3,1.86,"Jul 1, 2022","Jun 30, 2023",/elias-damergy/profil/spieler/693312
127,Warmed Omari,22,"Apr 23, 2000",France,RENNAIS,,Centre-Back,8.0,40,1,0,3259,0,0,1.88,"Jul 1, 2021","Jun 30, 2026",/warmed-omari/profil/spieler/711996
129,Jeanuël Belocian,17,"Feb 17, 2005",France,RENNAIS,,Centre-Back,0.5,13,0,0,1046,0,0,1.82,"Jul 1, 2022","Jun 30, 2024",/jeanuel-belocian/profil/spieler/919515
130,Adrien Truffert,20,"Nov 20, 2001",France,RENNAIS,,Left-Back,12.0,41,3,3,2338,0,0,1.76,"Jul 1, 2020","Jun 30, 2025",/adrien-truffert/profil/spieler/654539
131,Birger Meling,27,"Dec 17, 1994",Norway,RENNAIS,,Left-Back,7.0,37,0,5,2097,0,0,1.73,"Jul 20, 2021","Jun 30, 2026",/birger-meling/profil/spieler/282250
132,Faitout Maouassa,23,"Jul 6, 1998 ",France,RENNAIS,,Left-Back,3.0,9,0,0,356,0,0,1.7,"Jul 1, 2017","Jun 30, 2023",/faitout-maouassa/profil/spieler/357072
133,Hamari Traoré,30,"Jan 27, 1992",Mali,RENNAIS,,Right-Back,10.0,42,3,10,3683,0,0,1.75,"Jul 1, 2017","Jun 30, 2023",/hamari-traore/profil/spieler/297070
134,Lorenz Assignon,22,"Jun 22, 2000",France,RENNAIS,,Right-Back,3.0,26,0,3,843,0,0,1.81,"Jul 1, 2021","Jun 30, 2025",/lorenz-assignon/profil/spieler/711969
135,Lesley Ugochukwu,18,"Mar 26, 2004",France,RENNAIS,,Defensive Midfield,3.0,23,1,0,614,0,0,1.91,"Jul 1, 2021","Jun 30, 2025",/lesley-ugochukwu/profil/spieler/711999
137,Noah Françoise,18,"Jul 5, 2003 ",France,RENNAIS,,Defensive Midfield,0.25,23,3,1,2070,0,0,1.77,"Jul 1, 2022","Jun 30, 2023",/noah-francoise/profil/spieler/620321
138,Eduardo Camavinga,19,"Nov 10, 2002",France,RENNAIS,,Central Midfield,55.0,46,2,2,1866,0,0,1.82,"Jan 1, 2019","Jun 30, 2027",/eduardo-camavinga/profil/spieler/640428
139,Baptiste Santamaria,27,"Mar 9, 1995 ",France,RENNAIS,,Central Midfield,14.0,47,2,2,3388,0,0,1.83,"Aug 17, 2021","Jun 30, 2025",/baptiste-santamaria/profil/spieler/285323
140,Flavien Tait,29,"Feb 2, 1993 ",France,RENNAIS,,Central Midfield,8.0,39,7,4,2824,0,0,1.76,"Jul 9, 2019","Jun 30, 2024",/flavien-tait/profil/spieler/202278
142,Trésor Matondo,18,"Jul 24, 2003",France,RENNAIS,,Central Midfield,,22,0,3,1929,0,0,1.69,-,-,/tresor-matondo/profil/spieler/711988
143,Benjamin Bourigeaud,28,"Jan 14, 1994",France,RENNAIS,,Right Midfield,18.0,48,12,16,3974,0,0,1.78,"Jul 1, 2017","Jun 30, 2026",/benjamin-bourigeaud/profil/spieler/266359
144,Romain Del Castillo,26,"Mar 29, 1996",France,RENNAIS,,Right Midfield,3.0,24,1,7,1106,0,0,1.72,"Jul 1, 2018","Jun 30, 2024",/romain-del-castillo/profil/spieler/353399
145,Lovro Majer,24,"Jan 17, 1998",Croatia,RENNAIS,,Attacking Midfield,20.0,49,11,13,3239,0,0,1.78,"Aug 26, 2021","Jun 30, 2027",/lovro-majer/profil/spieler/387106
146,Désiré Doué,17,"Jun 3, 2005 ",France,RENNAIS,,Attacking Midfield,0.4,13,1,1,890,0,0,1.81,"Jul 1, 2022","Jun 30, 2025",/desire-doue/profil/spieler/914562
147,Martin Terrier,25,"Mar 4, 1997 ",France,RENNAIS,,Left Winger,25.0,46,21,7,3355,0,0,1.84,"Jul 6, 2020","Jun 30, 2026",/martin-terrier/profil/spieler/442891
148,Kamaldeen Sulemana,20,"Feb 15, 2002",Ghana,RENNAIS,,Left Winger,18.0,28,5,3,1422,0,0,1.75,"Jul 16, 2021","Jun 30, 2027",/kamaldeen-sulemana/profil/spieler/746695
149,Jérémy Doku,20,"May 27, 2002",Belgium,RENNAIS,,Right Winger,20.0,18,2,2,670,0,0,1.73,"Oct 5, 2020","Jun 30, 2025",/jeremy-doku/profil/spieler/486049
158,Teddy Boulhendi,21,"Apr 9, 2001 ",Algeria,NICE,,Goalkeeper,0.15,1,0,0,90,2,0,1.85,"Jul 1, 2020","Jun 30, 2024",/teddy-boulhendi/profil/spieler/789419
159,Jean-Clair Todibo,22,"Dec 30, 1999",France,NICE,,Centre-Back,20.0,40,1,0,3476,0,0,1.9,"Jul 1, 2021","Jun 30, 2027",/jean-clair-todibo/profil/spieler/605184
162,Dante,38,"Oct 18, 1983",Brazil,NICE,,Centre-Back,0.8,38,0,1,3232,0,0,1.88,"Aug 23, 2016","Jun 30, 2023",/dante/profil/spieler/16136
163,Yannis Nahounou,18,"May 16, 2004",France,NICE,,Centre-Back,0.15,2,0,0,176,0,0,1.94,-,"Jun 30, 2026",/yannis-nahounou/profil/spieler/904707
164,Melvin Bard,21,"Nov 6, 2000 ",France,NICE,,Left-Back,9.0,37,2,2,2936,0,0,1.73,"Jul 16, 2021","Jun 30, 2025",/melvin-bard/profil/spieler/532775
167,Youcef Atal,26,"May 17, 1996",Algeria,NICE,,Right-Back,15.0,18,2,2,1171,0,0,1.76,"Jul 17, 2018","Jun 30, 2024",/youcef-atal/profil/spieler/416108
168,Jordan Lotomba,23,"Sep 29, 1998",Switzerland,NICE,,Right-Back,7.0,34,0,1,2081,0,0,1.77,"Aug 3, 2020","Jun 30, 2025",/jordan-lotomba/profil/spieler/313094
169,Antoine Mendy,18,"May 27, 2004",France,NICE,,Right-Back,0.15,7,0,0,592,0,0,1.87,"Jul 1, 2022","Jun 30, 2025",/antoine-mendy/profil/spieler/891998
170,Khéphren Thuram,21,"Mar 26, 2001",France,NICE,,Defensive Midfield,17.0,41,4,3,2285,0,0,1.92,"Jul 6, 2019","Jun 30, 2025",/khephren-thuram/profil/spieler/463618
171,Pablo Rosario,25,"Jan 7, 1997 ",Netherlands,NICE,,Defensive Midfield,10.0,41,0,2,2970,0,0,1.85,"Jul 27, 2021","Jun 30, 2026",/pablo-rosario/profil/spieler/370791
172,Mario Lemina,28,"Sep 1, 1993 ",Gabon,NICE,,Defensive Midfield,9.0,36,2,0,2124,0,0,1.84,"Jul 24, 2021","Jun 30, 2025",/mario-lemina/profil/spieler/170934
173,Morgan Schneiderlin,32,"Nov 8, 1989 ",France,NICE,,Defensive Midfield,3.5,24,0,1,906,0,0,1.86,"Jul 1, 2020","Jun 30, 2023",/morgan-schneiderlin/profil/spieler/56818
175,Justin Smith,19,"Feb 4, 2003 ",Canada,NICE,,Defensive Midfield,0.3,2,0,0,180,0,0,1.9,-,"Jun 30, 2023",/justin-smith/profil/spieler/904712
176,Hicham Boudaoui,22,"Sep 23, 1999",Algeria,NICE,,Central Midfield,6.5,33,3,3,1793,0,0,1.75,"Sep 2, 2019","Jun 30, 2027",/hicham-boudaoui/profil/spieler/560593
181,Myziane Maolida,23,"Feb 14, 1999",France,NICE,,Left Winger,3.0,19,1,1,886,0,0,1.82,"Aug 13, 2018","Jun 30, 2023",/myziane-maolida/profil/spieler/371142
187,Andy Delort,30,"Oct 9, 1991 ",Algeria,NICE,,Centre-Forward,13.0,40,20,5,3044,0,0,1.81,"Aug 28, 2021","Jun 30, 2023",/andy-delort/profil/spieler/122797
190,Matz Sels,30,"Feb 26, 1992",Belgium,STRASBOURG,,Goalkeeper,8.0,38,0,0,3420,44,13,1.88,"Jul 26, 2018","Jun 30, 2026",/matz-sels/profil/spieler/127202
191,Eiji Kawashima,39,"Mar 20, 1983",Japan,STRASBOURG,,Goalkeeper,0.2,2,0,0,180,0,2,1.85,"Aug 29, 2018","Jun 30, 2023",/eiji-kawashima/profil/spieler/77383
