,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
0,Manuel Neuer,36,"Mar 27, 1986",Germany,BAYERN MUNICH,,Goalkeeper,15.0,39,0,0,3501,38,14,1.93,"Jul 1, 2011","Jun 30, 2024",/manuel-neuer/profil/spieler/17259
1,Sven Ulreich,33,"Aug 3, 1988 ",Germany,BAYERN MUNICH,,Goalkeeper,0.9,8,0,0,720,12,2,1.92,"Jul 1, 2021","Jun 30, 2024",/sven-ulreich/profil/spieler/40680
4,Lucas Hernández,26,"Feb 14, 1996",France,BAYERN MUNICH,,Centre-Back,50.0,34,0,2,2700,0,0,1.84,"Jul 1, 2019","Jun 30, 2024",/lucas-hernandez/profil/spieler/281963
5,Dayot Upamecano,23,"Oct 27, 1998",France,BAYERN MUNICH,,Centre-Back,40.0,38,1,6,3014,0,0,1.86,"Jul 5, 2021","Jun 30, 2026",/dayot-upamecano/profil/spieler/344695
10,Jamie Lawrence,19,"Nov 10, 2002",Germany,BAYERN MUNICH,,Centre-Back,1.0,33,4,3,2605,0,0,2.01,-,"Jun 30, 2024",/jamie-lawrence/profil/spieler/522248
11,Alphonso Davies,21,"Nov 2, 2000 ",Canada,BAYERN MUNICH,,Left-Back,70.0,31,0,6,2366,0,0,1.85,"Jan 1, 2019","Jun 30, 2025",/alphonso-davies/profil/spieler/424204
13,Benjamin Pavard,26,"Mar 28, 1996",France,BAYERN MUNICH,,Right-Back,30.0,36,0,2,2935,0,0,1.86,"Jul 1, 2019","Jun 30, 2024",/benjamin-pavard/profil/spieler/353366
14,Josip Stanisic,22,"Apr 2, 2000 ",Croatia,BAYERN MUNICH,,Right-Back,4.0,17,1,1,773,0,0,1.87,"Aug 1, 2021","Jun 30, 2026",/josip-stanisic/profil/spieler/483046
15,Bouna Sarr,30,"Jan 31, 1992",Senegal,BAYERN MUNICH,,Right-Back,2.5,12,1,0,274,0,0,1.77,"Oct 5, 2020","Jun 30, 2024",/bouna-sarr/profil/spieler/190685
16,Joshua Kimmich,27,"Feb 8, 1995 ",Germany,BAYERN MUNICH,,Defensive Midfield,80.0,39,3,12,3405,0,0,1.77,"Jul 2, 2015","Jun 30, 2025",/joshua-kimmich/profil/spieler/161056
