,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
0,Mike Maignan,26,"Jul 3, 1995 ",France,MILAN,,Goalkeeper,35.0,39,0,0,3540,32,19,1.91,"Jul 1, 2021","Jun 30, 2026",/mike-maignan/profil/spieler/182906
2,Ciprian Tatarusanu,36,"Feb 9, 1986 ",Romania,MILAN,,Goalkeeper,0.6,9,0,0,810,12,2,1.98,"Sep 11, 2020","Jun 30, 2023",/ciprian-tatarusanu/profil/spieler/55282
3,Antonio Mirante,38,"Jul 8, 1983 ",Italy,MILAN,,Goalkeeper,0.3,-,0,0,0,0,0,1.93,"Oct 13, 2021","Jun 30, 2023",/antonio-mirante/profil/spieler/22141
4,Sebastiano Desplanches,19,"Mar 11, 2003",Italy,MILAN,,Goalkeeper,0.2,28,0,0,2471,54,6,1.88,-,"Jun 30, 2023",/sebastiano-desplanches/profil/spieler/567465
5,Andreas Jungdal,20,"Feb 22, 2002",Denmark,MILAN,,Goalkeeper,0.15,4,0,0,360,4,1,1.95,"Jul 1, 2022","Jun 30, 2023",/andreas-jungdal/profil/spieler/592924
6,Lapo Nava,18,"Jan 22, 2004",Italy,MILAN,,Goalkeeper,,22,0,0,1980,26,8,-,-,-,/lapo-nava/profil/spieler/815563
7,Fikayo Tomori,24,"Dec 19, 1997",England,MILAN,,Centre-Back,50.0,40,1,0,3356,0,0,1.85,"Jul 1, 2021","Jun 30, 2027",/fikayo-tomori/profil/spieler/303254
8,Pierre Kalulu,22,"Jun 5, 2000 ",France,MILAN,,Centre-Back,28.0,37,1,4,2516,0,0,1.82,"Sep 1, 2020","Jun 30, 2027",/pierre-kalulu/profil/spieler/585949
10,Simon Kjaer,33,"Mar 26, 1989",Denmark,MILAN,,Centre-Back,6.0,14,0,0,1073,0,0,1.91,"Sep 1, 2020","Jun 30, 2024",/simon-kjaer/profil/spieler/48859
11,Matteo Gabbia,22,"Oct 21, 1999",Italy,MILAN,,Centre-Back,6.0,10,0,0,674,0,0,1.85,"Jul 1, 2017","Jun 30, 2026",/matteo-gabbia/profil/spieler/323167
12,Luca Stanga,20,"Jan 23, 2002",Italy,MILAN,,Centre-Back,0.15,32,0,2,2630,0,0,1.85,-,"Jun 30, 2024",/luca-stanga/profil/spieler/621123
13,Theo Hernández,24,"Oct 6, 1997 ",France,MILAN,,Left-Back,55.0,41,5,10,3553,0,0,1.84,"Jul 6, 2019","Jun 30, 2026",/theo-hernandez/profil/spieler/339808
14,Fodé Ballo-Touré,25,"Jan 3, 1997 ",Senegal,MILAN,,Left-Back,3.5,12,0,0,534,0,0,1.82,"Jul 18, 2021","Jun 30, 2025",/fode-ballo-toure/profil/spieler/296422
15,Davide Calabria,25,"Dec 6, 1996 ",Italy,MILAN,,Right-Back,25.0,33,2,3,2595,0,0,1.76,"Jul 1, 2015","Jun 30, 2025",/davide-calabria/profil/spieler/262523
18,Sandro Tonali,22,"May 8, 2000 ",Italy,MILAN,,Defensive Midfield,50.0,45,5,3,3151,0,0,1.81,"Jul 8, 2021","Jun 30, 2027",/sandro-tonali/profil/spieler/397033
