,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,join,contract,href
0,Thibaut Courtois,30,"May 11, 1992",Belgium,REAL MADRID,,Goalkeeper,60.0,52,0,0,4770,46,22,2.0,"Aug 9, 2018","Jun 30, 2026",/thibaut-courtois/profil/spieler/108390
1,Andriy Lunin,23,"Feb 11, 1999",Ukraine,REAL MADRID,,Goalkeeper,2.5,4,0,0,390,4,0,1.91,"Jul 1, 2018","Jun 30, 2024",/andriy-lunin/profil/spieler/404839
2,Luis López,21,"May 8, 2001 ",Spain,REAL MADRID,,Goalkeeper,0.3,14,0,0,1260,15,3,1.93,-,"Jun 30, 2023",/luis-lopez/profil/spieler/623525
3,Toni Fuidias,21,"Apr 15, 2001",Spain,REAL MADRID,,Goalkeeper,0.3,23,0,0,2070,32,6,1.95,-,"Jun 30, 2025",/toni-fuidias/profil/spieler/623526
4,Diego Piñeiro,18,"Feb 13, 2004",Spain,REAL MADRID,,Goalkeeper,,3,0,0,270,4,1,-,-,-,/diego-pineiro/profil/spieler/926850
5,Éder Militão,24,"Jan 18, 1998",Brazil,REAL MADRID,,Centre-Back,60.0,50,2,3,4496,0,0,1.86,"Jul 1, 2019","Jun 30, 2025",/eder-militao/profil/spieler/401530
6,David Alaba,30,"Jun 24, 1992",Austria,REAL MADRID,,Centre-Back,55.0,46,3,4,4070,0,0,1.8,"Jul 1, 2021","Jun 30, 2026",/david-alaba/profil/spieler/59016
7,Nacho Fernández,32,"Jan 18, 1990",Spain,REAL MADRID,,Centre-Back,7.0,42,3,0,2541,0,0,1.8,"Sep 1, 2012","Jun 30, 2023",/nacho-fernandez/profil/spieler/58884
8,Jesús Vallejo,25,"Jan 5, 1997 ",Spain,REAL MADRID,,Centre-Back,3.0,8,0,0,353,0,0,1.84,"Jul 31, 2015","Jun 30, 2025",/jesus-vallejo/profil/spieler/251896
9,Mario Gila,21,"Aug 29, 2000",Spain,REAL MADRID,,Centre-Back,0.5,34,2,1,2784,0,0,1.85,-,"Jun 30, 2027",/mario-gila/profil/spieler/618341
10,Rafa Marín,20,"May 19, 2002",Spain,REAL MADRID,,Centre-Back,0.4,27,1,0,2126,0,0,1.91,-,"Jun 30, 2024",/rafa-marin/profil/spieler/662261
11,Ferland Mendy,27,"Jun 8, 1995 ",France,REAL MADRID,,Left-Back,40.0,35,2,5,2816,0,0,1.8,"Jul 1, 2019","Jun 30, 2025",/ferland-mendy/profil/spieler/291417
14,Daniel Carvajal,30,"Jan 11, 1992",Spain,REAL MADRID,,Right-Back,18.0,36,1,4,2598,0,0,1.73,"Jul 1, 2013","Jun 30, 2025",/daniel-carvajal/profil/spieler/138927
15,Álvaro Odriozola,26,"Dec 14, 1995",Spain,REAL MADRID,,Right-Back,12.0,27,1,1,1866,0,0,1.76,"Jul 5, 2018","Jun 30, 2024",/alvaro-odriozola/profil/spieler/280730
16,Lucas Vázquez,30,"Jul 1, 1991 ",Spain,REAL MADRID,,Right-Back,12.0,41,3,0,2514,0,0,1.73,"Jul 2, 2015","Jun 30, 2024",/lucas-vazquez/profil/spieler/221316
17,Sergio Santos,21,"Jan 3, 2001 ",Spain,REAL MADRID,,Right-Back,0.25,29,2,4,2075,0,0,1.8,-,"Jun 30, 2023",/sergio-santos/profil/spieler/537759
20,Federico Valverde,23,"Jul 22, 1998",Uruguay,REAL MADRID,,Central Midfield,70.0,46,1,2,2860,0,0,1.82,"Jul 1, 2018","Jun 30, 2027",/federico-valverde/profil/spieler/369081
21,Eduardo Camavinga,19,"Nov 10, 2002",France,REAL MADRID,,Central Midfield,55.0,46,2,2,1866,0,0,1.82,"Aug 31, 2021","Jun 30, 2027",/eduardo-camavinga/profil/spieler/640428
22,Toni Kroos,32,"Jan 4, 1990 ",Germany,REAL MADRID,,Central Midfield,20.0,45,3,3,3397,0,0,1.83,"Jul 17, 2014","Jun 30, 2023",/toni-kroos/profil/spieler/31909
23,Dani Ceballos,25,"Aug 7, 1996 ",Spain,REAL MADRID,,Central Midfield,14.0,18,0,1,338,0,0,1.79,"Jul 14, 2017","Jun 30, 2023",/dani-ceballos/profil/spieler/319745
24,Luka Modric,36,"Sep 9, 1985 ",Croatia,REAL MADRID,,Central Midfield,10.0,45,3,12,3435,0,0,1.72,"Aug 27, 2012","Jun 30, 2023",/luka-modric/profil/spieler/27992
26,Vinicius Junior,21,"Jul 12, 2000",Brazil,REAL MADRID,,Left Winger,100.0,52,22,20,4274,0,0,1.76,"Jul 12, 2018","Jun 30, 2024",/vinicius-junior/profil/spieler/371998
27,Eden Hazard,31,"Jan 7, 1991 ",Belgium,REAL MADRID,,Left Winger,12.0,23,1,2,903,0,0,1.75,"Jul 1, 2019","Jun 30, 2024",/eden-hazard/profil/spieler/50202
28,Rodrygo,21,"Jan 9, 2001 ",Brazil,REAL MADRID,,Right Winger,60.0,49,9,10,2435,0,0,1.74,"Jul 1, 2019","Jun 30, 2025",/rodrygo/profil/spieler/412363
29,Marco Asensio,26,"Jan 21, 1996",Spain,REAL MADRID,,Right Winger,40.0,42,12,2,2110,0,0,1.82,"Jul 1, 2015","Jun 30, 2023",/marco-asensio/profil/spieler/296622
31,Peter González,19,"Jul 25, 2002",Dominican Republic,REAL MADRID,,Right Winger,1.0,45,5,9,3002,0,0,1.8,-,"Jun 30, 2025",/peter-gonzalez/profil/spieler/710004
32,Karim Benzema,34,"Dec 19, 1987",France,REAL MADRID,,Centre-Forward,30.0,46,44,15,3919,0,0,1.85,"Jul 9, 2009","Jun 30, 2023",/karim-benzema/profil/spieler/18922
34,Mariano Díaz,28,"Aug 1, 1993 ",Dominican Republic,REAL MADRID,,Centre-Forward,6.0,11,1,1,397,0,0,1.8,"Aug 29, 2018","Jun 30, 2023",/mariano-diaz/profil/spieler/225020
35,Juanmi Latasa,21,"Mar 23, 2001",Spain,REAL MADRID,,Centre-Forward,1.0,31,13,1,2386,0,0,1.92,-,"Jun 30, 2023",/juanmi-latasa/profil/spieler/623521
36,Marc-André ter Stegen,30,"Apr 30, 1992",Germany,BARCELONA,,Goalkeeper,30.0,49,0,0,4470,57,15,1.87,"Jul 1, 2014","Jun 30, 2025",/marc-andre-ter-stegen/profil/spieler/74857
39,Arnau Tenas,21,"May 30, 2001",Spain,BARCELONA,,Goalkeeper,1.5,18,0,0,1620,21,4,1.85,-,"Jun 30, 2023",/arnau-tenas/profil/spieler/466783
