,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
0,Arnaud Kalimuendo,20,"Jan 20, 2002",France,PSG,20.0,Centre-Forward,25.0,38,13,0,2402,0,0,1.75,/arnaud-kalimuendo/profil/spieler/585959,"Jul 1, 2020","Jun 30, 2027"
1,Thilo Kehrer,25,"Sep 21, 1996",Germany,PSG,12.0,Centre-Back,22.0,34,2,0,1906,0,0,1.86,/thilo-kehrer/profil/spieler/228948,"Aug 16, 2018","Jun 30, 2026"
2,Alphonse Areola,29,"Feb 27, 1993",France,PSG,9.3,Goalkeeper,8.0,18,0,0,1680,15,8,1.95,/alphonse-areola/profil/spieler/120629,"Jul 1, 2010","Jun 30, 2023"
3,Idrissa Gueye,32,"Sep 26, 1989",Senegal,PSG,4.0,Central Midfield,8.0,33,4,1,2043,0,0,1.74,/idrissa-gueye/profil/spieler/126665,"Jul 30, 2019","Jun 30, 2024"
4,Thierno Baldé,20,"Jun 10, 2002",France,PSG,3.0,Right-Back,4.0,31,0,0,2644,0,0,1.82,/thierno-balde/profil/spieler/709482,"Jul 1, 2021","Jun 30, 2023"
5,Julian Draxler,28,"Sep 20, 1993",Germany,PSG,2.5,Left Winger,8.0,24,2,2,861,0,0,1.85,/julian-draxler/profil/spieler/85148,"Jan 3, 2017","Jun 30, 2023"
6,Marcin Bulka,22,"Oct 4, 1999 ",Poland,PSG,2.0,Goalkeeper,2.0,6,0,0,540,3,3,1.99,/marcin-bulka/profil/spieler/465955,"Jul 6, 2019","Jun 30, 2025"
7,Abdou Diallo,26,"May 4, 1996 ",Senegal,PSG,1.5,Centre-Back,15.0,16,0,1,1222,0,0,1.87,/abdou-diallo/profil/spieler/229005,"Jul 16, 2019","Jun 30, 2023"
8,Garissone Innocent,22,"Apr 16, 2000",Haiti,PSG,out,Goalkeeper,0.2,10,0,0,900,9,3,1.92,/garissone-innocent/profil/spieler/460626,"Aug 6, 2015","Jun 30, 2023"
9,Rafinha,29,"Feb 12, 1993",Brazil,PSG,out,Attacking Midfield,4.5,26,1,0,1484,0,0,1.74,/rafinha/profil/spieler/129473,"Jul 1, 2019","Jun 30, 2025"
10,Teddy Alloh,20,"Jan 23, 2002",France,PSG,out,Left-Back,0.4,17,0,1,990,0,0,1.76,/teddy-alloh/profil/spieler/618405,"Oct 5, 2020","Jun 30, 2024"
11,Xavi Simons,19,"Apr 21, 2003",Netherlands,PSG,out,Attacking Midfield,18.0,16,4,7,928,0,0,1.79,/xavi-simons/profil/spieler/566931,"Jan 1, 2022","Jun 30, 2027"
12,Ángel Di María,34,"Feb 14, 1988",Argentina,PSG,out,Right Winger,10.0,31,5,9,1914,0,0,1.8,/angel-di-maria/profil/spieler/45320,"Jul 1, 2021","Jun 30, 2025"
13,Leandro Paredes,28,"Jun 29, 1994",Argentina,PSG,out,Defensive Midfield,15.0,22,1,2,1245,0,0,1.8,/leandro-paredes/profil/spieler/166237,"Jul 1, 2021","Jun 30, 2023"
14,Moutanabi Bodiang,19,"Mar 14, 2003",France,PSG,out,Right-Back,0.1,8,0,0,720,0,0,1.72,/moutanabi-bodiang/profil/spieler/808575,"Jul 1, 2022","Jun 30, 2024"
15,Anfane Ahamada,20,"May 7, 2002 ",Comoros,PSG,out,Defensive Midfield,0.1,1,0,0,90,0,0,1.81,/anfane-ahamada/profil/spieler/608027,"Jan 29, 2019","Jun 30, 2023"
16,Mauro Icardi,29,"Feb 19, 1993",Argentina,PSG,out,Centre-Forward,17.5,30,5,0,1277,0,0,1.81,/mauro-icardi/profil/spieler/68863,"Jul 1, 2020","Jun 30, 2023"
17,Nathan Bitumazala,19,"Dec 10, 2002",France,PSG,out,Attacking Midfield,0.4,14,1,0,1122,0,0,1.78,/nathan-bitumazala/profil/spieler/618415,"Jul 1, 2021","Jun 30, 2023"
18,Denis Franchi,19,"Oct 22, 2002",Italy,PSG,out,Goalkeeper,0.25,9,0,0,810,10,3,1.89,/denis-franchi/profil/spieler/606576,"Jul 1, 2021","Jun 30, 2025"
19,Tidjany Touré,20,"Jul 15, 2002",France,PSG,out,Left Winger,0.1,0,0,0,0,0,0,1.84,/tidjany-toure/profil/spieler/641576,"Jul 1, 2021","Jun 30, 2026"
20,Colin Dagba,23,"Sep 9, 1998 ",France,PSG,out,Right-Back,5.0,6,0,1,350,0,0,1.7,/colin-dagba/profil/spieler/460629,"Jan 1, 2022","Jun 30, 2023"
21,Georginio Wijnaldum,31,"Nov 11, 1990",Netherlands,PSG,out,Central Midfield,12.0,38,3,3,1993,0,0,1.75,/georginio-wijnaldum/profil/spieler/49499,"Jul 1, 2018","Jun 30, 2023"
22,Djeidi Gassama,18,"Sep 10, 2003",France,PSG,out,Left Winger,0.3,10,5,2,757,0,0,1.77,/djeidi-gassama/profil/spieler/795657,"Jul 4, 2019","Jun 30, 2024"
23,Junior Dina Ebimbe,21,"Nov 21, 2000",France,PSG,out,Right Midfield,7.5,14,0,1,483,0,0,1.84,/junior-dina-ebimbe/profil/spieler/536482,"Jul 1, 2019","Jun 30, 2023"
24,Ander Herrera,33,"Aug 14, 1989",Spain,PSG,out,Central Midfield,4.0,28,4,2,1605,0,0,1.82,/ander-herrera/profil/spieler/99343,"Jul 1, 2022","Jun 30, 2023"
25,Edouard Michut,19,"Mar 4, 2003 ",France,PSG,out,Central Midfield,2.5,15,2,1,816,0,0,1.77,/edouard-michut/profil/spieler/659521,"Jul 1, 2021","Jun 30, 2023"
26,Kenny Nagera,20,"Feb 21, 2002",France,PSG,out,Centre-Forward,0.3,20,0,1,916,0,0,1.77,/kenny-nagera/profil/spieler/618416,"Aug 27, 2015","Jun 30, 2023"
27,Layvin Kurzawa,29,"Sep 4, 1992 ",France,PSG,out,Left-Back,5.0,1,0,0,9,0,0,1.82,/layvin-kurzawa/profil/spieler/126710,"Jul 1, 2021","Jun 30, 2023"
29,Duje Caleta-Car,25,"Sep 17, 1996",Croatia,MARSEILLE,8.0,Centre-Back,14.0,38,2,1,3111,0,0,1.92,/duje-caleta-car/profil/spieler/238266,"Jul 20, 2018","Jun 30, 2026"
30,Luan Peres,28,"Jul 19, 1994",Brazil,MARSEILLE,5.23,Centre-Back,6.0,50,0,3,4034,0,0,1.9,/luan-peres/profil/spieler/347913,"Jul 14, 2021","Jun 30, 2025"
