,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
0,Robert Lewandowski,33,"Aug 21, 1988",Poland,BAYERN MUNICH,45.0,Centre-Forward,45.0,46,50,7,4006,0,0,1.85,/robert-lewandowski/profil/spieler/38253,,
1,Tanguy Nianzou,20,"Jun 7, 2002 ",France,BAYERN MUNICH,16.0,Centre-Back,9.0,22,1,1,874,0,0,1.91,/tanguy-nianzou/profil/spieler/538996,,
2,Marc Roca,25,"Nov 26, 1996",Spain,BAYERN MUNICH,12.0,Defensive Midfield,12.0,13,0,0,455,0,0,1.84,/marc-roca/profil/spieler/336869,"Jul 1, 2014","Jun 30, 2026"
3,Chris Richards,22,"Mar 28, 2000",United States,BAYERN MUNICH,12.0,Centre-Back,12.0,23,1,1,1525,0,0,1.88,/chris-richards/profil/spieler/578539,"Jul 1, 2020","Jun 30, 2027"
4,Omar Richards,24,"Feb 15, 1998",England,BAYERN MUNICH,8.5,Left-Back,7.0,17,0,1,575,0,0,1.74,/omar-richards/profil/spieler/424881,"Oct 4, 2020","Jun 30, 2026"
5,Joshua Zirkzee,21,"May 22, 2001",Netherlands,BAYERN MUNICH,8.5,Centre-Forward,11.0,47,18,13,3099,0,0,1.93,/joshua-zirkzee/profil/spieler/435648,"Jul 1, 2020","Jun 30, 2027"
6,Lukas Mai,22,"Mar 31, 2000",Germany,BAYERN MUNICH,1.6,Centre-Back,1.7,17,0,0,942,0,0,1.88,/lukas-mai/profil/spieler/345780,"Jul 1, 2021","Jun 30, 2026"
7,Christian Früchtl,22,"Jan 28, 2000",Germany,BAYERN MUNICH,0.5,Goalkeeper,1.0,8,0,0,639,11,2,1.93,/christian-fruchtl/profil/spieler/336307,"Jul 1, 2020","Jun 30, 2023"
8,Ron-Thorben Hoffmann,23,"Apr 4, 1999 ",Germany,BAYERN MUNICH,out,Goalkeeper,0.4,25,0,0,2250,34,8,1.92,/ron-thorben-hoffmann/profil/spieler/317444,"Jul 1, 2019","Jun 30, 2023"
9,Niklas Süle,26,"Sep 3, 1995 ",Germany,BAYERN MUNICH,out,Centre-Back,35.0,38,1,2,2515,0,0,1.95,/niklas-sule/profil/spieler/166601,"Jul 1, 2017","Jun 30, 2025"
10,Corentin Tolisso,27,"Aug 3, 1994 ",France,BAYERN MUNICH,out,Central Midfield,14.0,22,3,3,1069,0,0,1.81,/corentin-tolisso/profil/spieler/190393,"Jul 1, 2018","Jun 30, 2024"
11,Adrian Fein,23,"Mar 18, 1999",Germany,BAYERN MUNICH,out,Defensive Midfield,0.7,4,0,0,75,0,0,1.87,/adrian-fein/profil/spieler/379979,"Jul 1, 2017","Jun 30, 2026"
12,Malik Tillman,20,"May 28, 2002",United States,BAYERN MUNICH,out,Attacking Midfield,2.8,22,5,4,1449,0,0,1.87,/malik-tillman/profil/spieler/467437,"Jul 1, 2017","Jun 30, 2027"
13,Gabriel Vidovic,18,"Dec 1, 2003 ",Croatia,BAYERN MUNICH,out,Attacking Midfield,3.0,33,21,10,2466,0,0,1.8,/gabriel-vidovic/profil/spieler/604327,"Jul 1, 2019","Jun 30, 2023"
14,Bright Arrey-Mbi,19,"Mar 26, 2003",Germany,BAYERN MUNICH,out,Centre-Back,1.0,28,2,0,2329,0,0,1.87,/bright-arrey-mbi/profil/spieler/580193,"Jul 1, 2021","May 31, 2023"
15,Erling Haaland,21,"Jul 21, 2000",Norway,BORUSSIA DORTMUND,60.0,Centre-Forward,170.0,30,29,8,2388,0,0,1.95,/erling-haaland/profil/spieler/418560,"Jul 1, 2022","Jun 30, 2023"
