,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
0,Jens Petter Hauge,22,"Oct 12, 1999",Norway,MILAN,10.0,Right Winger,5.0,38,3,2,1399,0,0,1.84,/jens-petter-hauge/profil/spieler/422355,"Oct 1, 2020","Jun 30, 2025"
1,Léo Duarte,25,"Jul 17, 1996",Brazil,MILAN,2.0,Centre-Back,3.2,33,0,0,2872,0,0,1.83,/leo-duarte/profil/spieler/312678,"Aug 7, 2019","Jun 30, 2024"
2,Frank Tsadjout,22,"Jul 28, 1999",Italy,MILAN,0.85,Centre-Forward,0.9,33,5,2,2207,0,0,1.9,/frank-tsadjout/profil/spieler/392545,"Sep 16, 2020","Jun 30, 2023"
3,Alessandro Plizzari,22,"Mar 12, 2000",Italy,MILAN,0.2,Goalkeeper,0.6,3,0,0,270,3,1,1.87,/alessandro-plizzari/profil/spieler/357991,"Sep 1, 2016","Jun 30, 2025"
4,Gabriele Capanni,21,"Dec 2, 2000 ",Italy,MILAN,out,Left Winger,0.1,1,0,0,9,0,0,1.76,/gabriele-capanni/profil/spieler/421446,"Jun 30, 2021","Jun 30, 2024"
5,Franck Kessié,25,"Dec 19, 1996",Cote d'Ivoire,MILAN,out,Central Midfield,35.0,39,7,1,2900,0,0,1.83,/franck-kessie/profil/spieler/294808,"Jul 1, 2019","Jun 30, 2026"
6,Samu Castillejo,27,"Jan 18, 1995",Spain,MILAN,out,Right Winger,8.0,5,0,2,122,0,0,1.82,/samu-castillejo/profil/spieler/195171,"Aug 17, 2018","Jun 30, 2025"
7,Alessio Romagnoli,27,"Jan 12, 1995",Italy,MILAN,out,Centre-Back,18.0,26,1,1,1914,0,0,1.85,/alessio-romagnoli/profil/spieler/197747,"Aug 11, 2015","Jun 30, 2027"
8,Leroy Abanda,22,"Jun 7, 2000 ",France,MILAN,out,Left-Back,0.4,20,0,1,1503,0,0,1.8,/leroy-abanda/profil/spieler/418652,"Aug 4, 2020","Jun 30, 2023"
9,Sabino Signorile,20,"Feb 23, 2002",Italy,MILAN,out,Right Winger,0.075,19,2,0,550,0,0,1.78,/sabino-signorile/profil/spieler/566963,"Jun 30, 2022","Jun 30, 2023"
10,Marco Frigerio,21,"Jul 16, 2001",Italy,MILAN,out,Central Midfield,0.175,34,0,2,2439,0,0,1.85,/marco-frigerio/profil/spieler/492627,"Jun 30, 2022","Jun 30, 2023"
11,Gabriele Bellodi,21,"Sep 2, 2000 ",Italy,MILAN,out,Centre-Back,0.15,0,0,0,0,0,0,1.87,/gabriele-bellodi/profil/spieler/406912,"Aug 31, 2020","Jun 30, 2023"
12,Antonio Mionic,21,"May 31, 2001",Croatia,MILAN,out,Central Midfield,0.025,23,0,0,530,0,0,1.75,/antonio-mionic/profil/spieler/562259,"Jun 30, 2022","Jun 30, 2024"
13,Riccardo Tonin,21,"Jan 30, 2001",Italy,MILAN,out,Centre-Forward,0.1,24,1,1,829,0,0,1.8,/riccardo-tonin/profil/spieler/421773,"Jun 30, 2022","Jun 30, 2023"
14,Luan Capanni,22,"May 29, 2000",Brazil,MILAN,out,Attacking Midfield,0.075,34,4,2,2004,0,0,1.9,/luan-capanni/profil/spieler/601877,"Jul 1, 2020","Jun 30, 2023"
15,Mattia Caldara,28,"May 5, 1994 ",Italy,MILAN,out,Centre-Back,2.5,33,1,1,2913,0,0,1.87,/mattia-caldara/profil/spieler/197470,"Aug 2, 2018","Jun 30, 2024"
16,Marco Nasti,18,"Sep 17, 2003",Italy,MILAN,out,Centre-Forward,0.8,29,18,8,1956,0,0,1.79,/marco-nasti/profil/spieler/629016,"Jul 1, 2022","Jun 30, 2026"
17,Daniel Maldini,20,"Oct 11, 2001",Italy,MILAN,out,Attacking Midfield,2.0,13,1,0,239,0,0,1.88,/daniel-maldini/profil/spieler/539134,"Sep 1, 2020","Jun 30, 2023"
18,Lorenzo Colombo,20,"Mar 8, 2002 ",Italy,MILAN,out,Centre-Forward,3.5,35,6,1,2160,0,0,1.83,/lorenzo-colombo/profil/spieler/487843,"Sep 1, 2020","Jun 30, 2024"
19,Marco Brescianini,22,"Jan 20, 2000",Italy,MILAN,out,Central Midfield,0.65,6,0,0,342,0,0,1.88,/marco-brescianini/profil/spieler/459128,"Jun 30, 2021","Jun 30, 2024"
20,Emil Roback,19,"May 3, 2003 ",Sweden,MILAN,out,Centre-Forward,0.15,27,7,1,1184,0,0,1.88,/emil-roback/profil/spieler/673495,"Jul 1, 2022","Jun 30, 2025"
21,Emir Murati,22,"Mar 7, 2000 ",Italy,MILAN,out,Central Midfield,,0,0,0,0,0,0,1.81,/emir-murati/profil/spieler/395195,"Jan 29, 2021","Jun 30, 2023"
24,Michele Di Gregorio,24,"Jul 27, 1997",Italy,INTER,4.0,Goalkeeper,4.5,42,0,0,3810,45,15,1.87,/michele-di-gregorio/profil/spieler/301238,"Jun 30, 2018","Jun 30, 2024"
25,Andreaw Gravillon,24,"Feb 8, 1998 ",Guadeloupe,INTER,3.0,Centre-Back,7.0,27,0,0,2230,0,0,1.88,/andreaw-gravillon/profil/spieler/395083,"Jan 29, 2019","Jun 30, 2023"
26,Lorenzo Pirola,20,"Feb 20, 2002",Italy,INTER,0.9,Centre-Back,2.5,14,0,0,782,0,0,1.88,/lorenzo-pirola/profil/spieler/487834,"Jan 1, 2020","Jun 30, 2027"
