,Name,Age,date,nationality,club,fee_y,position,market,match,goal,assist,minute,miss,clean,height,href,join,contract
0,Casemiro,30,"Feb 23, 1992",Brazil,REAL MADRID,70.65,Defensive Midfield,50.0,48,1,4,3928,0,0,1.85,/casemiro/profil/spieler/16306,"Jul 2, 2015","Jun 30, 2026"
1,Borja Mayoral,25,"Apr 5, 1997 ",Spain,REAL MADRID,10.0,Centre-Forward,9.0,29,7,2,1295,0,0,1.82,/borja-mayoral/profil/spieler/298976,"Jul 1, 2016","Jun 30, 2023"
2,Takefusa Kubo,21,"Jun 4, 2001 ",Japan,REAL MADRID,6.5,Right Winger,12.0,31,2,3,1768,0,0,1.73,/takefusa-kubo/profil/spieler/405398,"Jul 1, 2019","Jun 30, 2024"
3,Miguel Gutiérrez,21,"Jul 27, 2001",Spain,REAL MADRID,4.0,Left-Back,8.0,20,2,9,1606,0,0,1.8,/miguel-gutierrez/profil/spieler/525299,"Jul 1, 2022","Jun 30, 2027"
4,Víctor Chust,22,"Mar 5, 2000 ",Spain,REAL MADRID,1.0,Centre-Back,3.0,29,0,0,2217,0,0,1.82,/victor-chust/profil/spieler/495625,"Jul 1, 2021","Jun 30, 2023"
5,Marcelo,34,"May 12, 1988",Brazil,REAL MADRID,out,Left-Back,2.0,18,0,2,811,0,0,1.74,/marcelo/profil/spieler/44501,"Jan 1, 2007","Dec 31, 2024"
6,Isco,30,"Apr 21, 1992",Spain,REAL MADRID,out,Attacking Midfield,9.0,17,2,1,407,0,0,1.76,/isco/profil/spieler/85288,"Jul 1, 2013",-
7,Luka Jović,24,"Dec 23, 1997",Serbia,REAL MADRID,out,Centre-Forward,14.0,19,1,3,549,0,0,1.82,/luka-jovi%C4%87/profil/spieler/257462,"Jul 2, 2019","Jun 30, 2024"
8,Gareth Bale,32,"Jul 16, 1989",Wales,REAL MADRID,out,Right Winger,,21,4,0,687,0,0,1.86,/gareth-bale/profil/spieler/39381,"Sep 1, 2013",-
9,Reinier,20,"Jan 19, 2002",Brazil,REAL MADRID,out,Attacking Midfield,4.0,20,0,0,402,0,0,1.85,/reinier/profil/spieler/627226,"Jan 20, 2020","Jun 30, 2026"
